iter	Passed	Remaining
0	54	53971
1	112	56187
2	167	55567
3	222	55472
4	282	56181
5	343	56897
6	402	57054
7	460	57155
8	517	56980
9	573	56766
10	630	56678
11	690	56884
12	756	57469
13	817	57600
14	880	57827
15	940	57840
16	997	57675
17	1057	57711
18	1124	58058
19	1187	58163
20	1246	58102
21	1307	58129
22	1367	58094
23	1427	58063
24	1486	57980
25	1551	58127
26	1608	57957
27	1664	57797
28	1720	57604
29	1777	57460
30	1837	57442
31	1892	57237
32	1948	57093
33	2005	56988
34	2064	56907
35	2121	56821
36	2192	57056
37	2252	57022
38	2311	56954
39	2370	56903
40	2428	56807
41	2489	56773
42	2546	56683
43	2602	56554
44	2657	56391
45	2713	56281
46	2767	56120
47	2822	55989
48	2880	55899
49	2944	55937
50	3006	55949
51	3069	55951
52	3133	55994
53	3197	56007
54	3256	55953
55	3313	55857
56	3376	55863
57	3434	55773
58	3495	55757
59	3563	55832
60	3627	55837
61	3689	55812
62	3749	55766
63	3809	55713
64	3868	55645
65	3930	55616
66	3989	55557
67	4048	55484
68	4109	55448
69	4176	55481
70	4243	55524
71	4304	55478
72	4366	55453
73	4428	55418
74	4488	55354
75	4544	55245
76	4601	55160
77	4663	55127
78	4732	55166
79	4794	55134
80	4861	55151
81	4929	55190
82	4985	55083
83	5042	54989
84	5098	54885
85	5169	54942
86	5233	54924
87	5299	54926
88	5364	54910
89	5419	54800
90	5476	54708
91	5541	54696
92	5611	54731
93	5671	54664
94	5729	54582
95	5790	54530
96	5853	54493
97	5923	54517
98	5989	54512
99	6053	54480
100	6120	54478
101	6177	54390
102	6242	54360
103	6301	54289
104	6359	54209
105	6419	54144
106	6478	54071
107	6540	54020
108	6601	53962
109	6667	53944
110	6726	53869
111	6785	53797
112	6846	53742
113	6909	53701
114	6967	53617
115	7026	53549
116	7088	53495
117	7150	53443
118	7215	53420
119	7279	53386
120	7342	53337
121	7397	53240
122	7455	53155
123	7519	53124
124	7580	53063
125	7645	53036
126	7710	53003
127	7777	52982
128	7841	52943
129	7908	52923
130	7966	52844
131	8026	52781
132	8091	52749
133	8154	52698
134	8217	52651
135	8279	52598
136	8342	52551
137	8406	52512
138	8471	52477
139	8530	52403
140	8591	52343
141	8649	52261
142	8705	52170
143	8763	52092
144	8823	52029
145	8882	51957
146	8941	51884
147	9005	51842
148	9067	51787
149	9125	51711
150	9187	51656
151	9254	51630
152	9320	51600
153	9381	51538
154	9437	51451
155	9500	51402
156	9573	51402
157	9637	51359
158	9708	51350
159	9770	51297
160	9840	51280
161	9907	51249
162	9973	51211
163	10034	51153
164	10099	51110
165	10161	51052
166	10227	51016
167	10289	50959
168	10353	50911
169	10414	50847
170	10471	50765
171	10533	50706
172	10593	50640
173	10664	50624
174	10764	50747
175	10867	50880
176	10956	50946
177	11054	51049
178	11139	51092
179	11235	51183
180	11315	51199
181	11381	51153
182	11443	51087
183	11514	51063
184	11579	51011
185	11651	50990
186	11722	50965
187	11786	50906
188	11848	50841
189	11908	50766
190	11969	50697
191	12034	50644
192	12134	50736
193	12241	50860
194	12340	50943
195	12433	51001
196	12509	50989
197	12584	50974
198	12657	50946
199	12719	50878
200	12786	50827
201	12883	50895
202	12957	50870
203	13032	50851
204	13144	50976
205	13232	51002
206	13319	51026
207	13421	51106
208	13503	51106
209	13560	51012
210	13620	50932
211	13687	50876
